"","description","score","File","Source","AnimalScore","AnimalInd","Specificity","Count","SelectionMetric"
"1","fish",0.85502784729,"12227_tapir.jpg","amazon",0.284966655760126,NA,0.530613322138174,15,1.64490998491883
"2","manta ray",0.85502784729,"12227_tapir.jpg","amazon",0.253660888023101,NA,0.516256819108854,1,1.7040854024952
"3","sea life",0.85502784729,"12227_tapir.jpg","amazon",0.247321271165556,NA,0.541566007700475,5,1.65987645212662
"4","stingray",0.85502784729,"12227_tapir.jpg","amazon",0.270411946474845,NA,0.564649661095187,1,1.73246958810131
"5","stingray fish",0.85502784729,"12227_tapir.jpg","amazon",0.284966655760126,NA,0.564649661095187,1,1.73610826542262
"6","algae",0.703408889771,"12227_tapir.jpg","amazon",0.296786253663639,NA,0.593833840846644,5,1.47094817804573
"7","animal",0.507867279053,"12227_tapir.jpg","amazon",1,NA,0,355,1.01710836750384
"8","boar",0.507867279053,"12227_tapir.jpg","amazon",0.571024863107108,NA,0.673434672793008,9,1.27460780408611
"9","hog",0.507867279053,"12227_tapir.jpg","amazon",0.512208787144053,NA,0.616020812190918,3,1.25559854837993
"10","mammal",0.507867279053,"12227_tapir.jpg","amazon",0.623663218882118,NA,0,405,0.922685763250029
"11","pig",0.507867279053,"12227_tapir.jpg","amazon",0.792810550101927,NA,0.883110745630197,4,1.45155892892008
"12","fish",0.880246582031,"12231_porcupine.jpg","amazon",0.284966655760126,NA,0.530613322138174,15,1.68273808703033
"13","sea life",0.880246582031,"12231_porcupine.jpg","amazon",0.247321271165556,NA,0.541566007700475,5,1.69770455423812
"14","sturgeon",0.880246582031,"12231_porcupine.jpg","amazon",0.239736871075215,NA,0.531379995268685,1,1.74599408844965
"15","field",0.566273994446,"12231_porcupine.jpg","amazon",0.168035106869028,NA,0.502971436968491,49,1.15719120115622
"16","grass",0.566273994446,"12231_porcupine.jpg","amazon",0.426373306438296,NA,0.578727774844713,111,1.25485978565846
"17","grassland",0.566273994446,"12231_porcupine.jpg","amazon",0.659305475342856,NA,0.415511688794644,45,1.23690032475203
"18","plant",0.566273994446,"12231_porcupine.jpg","amazon",0.160226974972077,NA,0.526814156263583,40,1.16868620184465
"19","road",0.554377784729,"12231_porcupine.jpg","amazon",0.110519084506806,NA,0.39791828271103,9,1.09148892290905
"20","ground",0.541629180908,"12231_porcupine.jpg","amazon",0.269809620049568,NA,0.435309473087723,3,1.15528593983722
"21","soil",0.541629180908,"12231_porcupine.jpg","amazon",0.231913359012962,NA,0.514817453177293,14,1.15455696189513
"22","intersection",0.507886276245,"12231_porcupine.jpg","amazon",0.0284415921131736,NA,0.39948294299254,1,1.06868128389206
"23","city",0.507739257812,"12231_porcupine.jpg","amazon",0.0677407831664281,NA,0.427402974057784,1,1.0922455695385
"24","downtown",0.507739257812,"12231_porcupine.jpg","amazon",0.0640831948054778,NA,0.449615176686178,1,1.10243727376246
"25","bird",0.956489181519,"3743-2.JPG","amazon",1,NA,0.573009138825232,29,1.98980787550882
"26","grouse",0.956489181519,"3743-2.JPG","amazon",0.693393089093857,NA,0.496155976850364,2,1.9268707110958
"27","outdoors",0.514678955078,"3743-2.JPG","amazon",0.356118831136187,NA,0.531810420193845,147,1.13520121148639
"28","bird",0.56616027832,"ave rapaz-3734-19.JPG","amazon",1,NA,0.573009138825232,29,1.40431452071032
"29","buzzard",0.56616027832,"ave rapaz-3734-19.JPG","amazon",0.682578106972049,NA,0.446320027073413,1,1.34304495775972
"30","harrier",0.56616027832,"ave rapaz-3734-19.JPG","amazon",0.657916522983277,NA,0.447112528540287,1,1.33727581249596
"31","hawk",0.56616027832,"ave rapaz-3734-19.JPG","amazon",0.688102790053583,NA,0.543712858304204,2,1.36383322226415
"32","vulture",0.56616027832,"ave rapaz-3734-19.JPG","amazon",0.712718857817605,NA,0.490719776833917,1,1.37278002035136
"33","bush",0.547910385132,"ave rapaz-3734-19.JPG","amazon",0.186912126890719,NA,0.506546006300129,20,1.14422729234574
"34","plant",0.547910385132,"ave rapaz-3734-19.JPG","amazon",0.160226974972077,NA,0.526814156263583,40,1.14114078787365
"35","vegetation",0.547910385132,"ave rapaz-3734-19.JPG","amazon",0.548552018116468,NA,0.475764863264382,28,1.21578423750977
"36","forest",0.51390083313,"ave rapaz-3734-19.JPG","amazon",0.549786348196565,NA,0.445144056579262,20,1.15323054480877
"37","jungle",0.51390083313,"ave rapaz-3734-19.JPG","amazon",0.45504364959399,NA,0.594135505871152,17,1.20593347753271
"38","grouse",0.512151641846,"ave rapaz-3734-19.JPG","amazon",0.693393089093857,NA,0.496155976850364,2,1.2603644015863
"39","ptarmigan",0.512151641846,"ave rapaz-3734-19.JPG","amazon",0.562663984675464,NA,0.491726494641813,1,1.25475670625877
"40","animal",0.992779922485,"Cchinga B-Rancho Chico 3715-14.JPG","amazon",1,NA,0,355,1.74447733265184
"41","mammal",0.992779922485,"Cchinga B-Rancho Chico 3715-14.JPG","amazon",0.623663218882118,NA,0,405,1.65005472839803
"42","skunk",0.992779922485,"Cchinga B-Rancho Chico 3715-14.JPG","amazon",0.502244001669528,1,0.5940115212293,4,1.96173664475953
"43","cat",0.836076965332,"Cchinga B-Rancho Chico 3715-14.JPG","amazon",0.923642675604657,NA,0.859507018283396,126,1.92368833410461
"44","pet",0.836076965332,"Cchinga B-Rancho Chico 3715-14.JPG","amazon",0.928221641829446,NA,0.86579245285228,47,1.93365358403129
"45","bird",0.926087646484,"chunga 3728-5.JPG","amazon",1,NA,0.573009138825232,29,1.94420557295632
"46","crane bird",0.926087646484,"chunga 3728-5.JPG","amazon",1,NA,0.573009138825232,5,1.97035739868861
"47","heron",0.926087646484,"chunga 3728-5.JPG","amazon",0.702395076982213,NA,0.434478006485417,5,1.82669060176426
"48","duck",0.744465942383,"chunga 3728-5.JPG","amazon",0.643728036233741,NA,0.53668929629782,1,1.64597557078185
"49","teal",0.744465942383,"chunga 3728-5.JPG","amazon",0.688480873532925,NA,0.430380930656205,1,1.60400959728583
"50","waterfowl",0.744465942383,"chunga 3728-5.JPG","amazon",0.708615838055144,NA,0.478172391966896,1,1.63293906907173
"51","goose",0.522363777161,"chunga 3728-5.JPG","amazon",0.740597655923952,NA,0.540100582587617,1,1.3387453710163
"52","plant",0.507374572754,"chunga 3728-5.JPG","amazon",0.160226974972077,NA,0.526814156263583,40,1.08033706930665
"53","vegetation",0.507374572754,"chunga 3728-5.JPG","amazon",0.548552018116468,NA,0.475764863264382,28,1.15498051894277
"54","bird",0.528669891357,"chunga 3728-7.JPG","amazon",1,NA,0.573009138825232,29,1.34807894026582
"55","crane bird",0.528669891357,"chunga 3728-7.JPG","amazon",1,NA,0.573009138825232,5,1.37423076599811
"56","heron",0.528669891357,"chunga 3728-7.JPG","amazon",0.702395076982213,NA,0.434478006485417,5,1.23056396907376
"57","forest",0.517009277344,"chunga 3728-7.JPG","amazon",0.549786348196565,NA,0.445144056579262,20,1.15789321112977
"58","jungle",0.517009277344,"chunga 3728-7.JPG","amazon",0.45504364959399,NA,0.594135505871152,17,1.21059614385371
"59","outdoors",0.511920852661,"chunga 3728-7.JPG","amazon",0.356118831136187,NA,0.531810420193845,147,1.13106405786089
"60","rainforest",0.50912071228,"chunga 3728-7.JPG","amazon",0.542542203004774,NA,0.582334359050495,10,1.22210657529813
"61","vegetation",0.50912071228,"chunga 3728-7.JPG","amazon",0.548552018116468,NA,0.475764863264382,28,1.15759972823177
"62","animal",0.775163345337,"Dazarae BP-18000 3742-21.JPG","amazon",1,NA,0,355,1.41805246692984
"63","canine",0.775163345337,"Dazarae BP-18000 3742-21.JPG","amazon",0.899039248742498,NA,0.876547221134548,77,1.83717449840436
"64","coyote",0.775163345337,"Dazarae BP-18000 3742-21.JPG","amazon",0.425597084408275,1,0.628511449121792,47,1.59798651281825
