V1,description,score,File,Source,AnimalScore,AnimalInd,Specificity,Count,SelectionMetric,SimplestName,CommonNameMajor,TimeofDay,Amount,Vegetation,NumOfAnimals,SimplestNameScore,CommonNameScore,ScoreRank,SimplestRF,CommonRF
5229,manatee,0.816,12227_tapir.jpg,IBM,0.416958168871087,1,0.608462382170304,2,1.70318141142158,tapir,malayan tapir,Night,Entire,Forest,1,0.623612370881437,0,7,0.300684543836181,0.0838203553635458
5230,aquatic mammal,0.852,12227_tapir.jpg,IBM,0.623663218882118,,0.746236502535437,3,1.86476908290721,tapir,malayan tapir,Night,Entire,Forest,1,0.786304919263471,0,8.5,0.49815521127934,0.0725140466198062
5231,mammal,0.852,12227_tapir.jpg,IBM,0.623663218882118,,0,405,1.43888484467053,tapir,malayan tapir,Night,Entire,Forest,1,0.786304919263471,0,8.5,0.483645865506623,0.230799790474267
5232,animal,0.916,12227_tapir.jpg,IBM,1,,0,355,1.62930744892434,tapir,malayan tapir,Night,Entire,Forest,1,0.461683176111094,0,10,0.47084294286101,0.0871792305918962
5233,european catfish,0.663,12227_tapir.jpg,IBM,0.225220269411177,,0.516180278848545,2,1.37960588489572,tapir,malayan tapir,Night,Entire,Forest,1,0.348267381065591,0,2,0.251760779384098,0.0836463950867131
5234,catfish,0.67,12227_tapir.jpg,IBM,0.225220269411177,,0.491251368806775,2,1.37764142987484,tapir,malayan tapir,Night,Entire,Forest,1,0.348267381065591,0,3,0.217061412192722,0.038299184095152
5235,fish,0.674,12227_tapir.jpg,IBM,0.284966655760126,,0.530613322138174,15,1.37336821398383,tapir,malayan tapir,Night,Entire,Forest,1,0.29489161389706,0,4,0.346996942504022,0.0501646623601253
5236,aquatic vertebrate,0.676,12227_tapir.jpg,IBM,0.497216783674173,,0.652357375799019,5,1.50920424336805,tapir,malayan tapir,Night,Entire,Forest,1,0.48948700664685,0,5,0.460287469480941,0.0539489558254829
5237,sea cow,0.5,12227_tapir.jpg,IBM,0.679587066890911,,0.777019301051816,1,1.40840641724864,tapir,malayan tapir,Night,Entire,Forest,1,0.252401196243299,0,1,0.571346938819013,0.114171130386296
5238,greenishness color,0.941,12227_tapir.jpg,IBM,0.209495481278798,,0.553355828846778,13,1.76828679455435,tapir,malayan tapir,Night,Entire,Forest,1,0.135415955182648,0,11,0.178921171062767,0.105545507559938
5239,sea green color,0.807,12227_tapir.jpg,IBM,0.258131868998165,,0.553355828846778,7,1.58950732897385,tapir,malayan tapir,Night,Entire,Forest,1,0.211303316354044,0,6,0.2719133785115,0.0376767594296393
1,fish,0.85502784729,12227_tapir.jpg,amazon,0.284966655760126,,0.530613322138174,15,1.64490998491883,tapir,malayan tapir,Night,Entire,Forest,1,0.29489161389706,0,9,0.340527852219976,0.0235282203788924
2,manta ray,0.85502784729,12227_tapir.jpg,amazon,0.253660888023101,,0.516256819108854,1,1.7040854024952,tapir,malayan tapir,Night,Entire,Forest,1,0.394574248612322,0,9,0.238346436182423,0.0326395033200254
3,sea life,0.85502784729,12227_tapir.jpg,amazon,0.247321271165556,,0.541566007700475,5,1.65987645212662,tapir,malayan tapir,Night,Entire,Forest,1,0.211303316354044,0,9,0.325429397970732,0.0212668081686321
4,stingray,0.85502784729,12227_tapir.jpg,amazon,0.270411946474845,,0.564649661095187,1,1.73246958810131,tapir,malayan tapir,Night,Entire,Forest,1,0.308226258894759,0,9,0.301830673004723,0.0275708586704002
5,stingray fish,0.85502784729,12227_tapir.jpg,amazon,0.284966655760126,,0.564649661095187,1,1.73610826542262,tapir,malayan tapir,Night,Entire,Forest,1,0.308226258894759,0,9,0.302109783712368,0.0327386507389999
6,algae,0.703408889771,12227_tapir.jpg,amazon,0.296786253663639,,0.593833840846644,5,1.47094817804573,tapir,malayan tapir,Night,Entire,Forest,1,0.322423804331416,0,6,0.395198872353992,0.0504890776259883
7,animal,0.507867279053,12227_tapir.jpg,amazon,1,,0,355,1.01710836750384,tapir,malayan tapir,Night,Entire,Forest,1,0.461683176111094,0,3,0.46216940279378,0.0589221863894877
8,boar,0.507867279053,12227_tapir.jpg,amazon,0.571024863107108,,0.673434672793008,9,1.27460780408611,tapir,malayan tapir,Night,Entire,Forest,1,0.588109658610069,0,3,0.39087436998866,0.177764354169322
9,hog,0.507867279053,12227_tapir.jpg,amazon,0.512208787144053,,0.616020812190918,3,1.25559854837993,tapir,malayan tapir,Night,Entire,Forest,1,0.402607667848503,0,3,0.411975059439139,0.089360483952769
10,mammal,0.507867279053,12227_tapir.jpg,amazon,0.623663218882118,,0,405,0.922685763250029,tapir,malayan tapir,Night,Entire,Forest,1,0.786304919263471,0,3,0.510222522321708,0.0594986948827836
11,pig,0.507867279053,12227_tapir.jpg,amazon,0.792810550101927,,0.883110745630197,4,1.45155892892008,tapir,malayan tapir,Night,Entire,Forest,1,0.312751666667728,0,3,0.497323248999931,0.172398227261844
2509,water,0.99391,12227_tapir.jpg,clarifAI,0.168073038253889,,0.433295263914443,38,1.76575303363377,tapir,malayan tapir,Night,Entire,Forest,1,0.153741762427542,0,20,0.213172012537651,0.0298664086199713
2510,no person,0.9917679,12227_tapir.jpg,clarifAI,0.28898233960606,,0.506401301745522,122,1.82215166037853,tapir,malayan tapir,Night,Entire,Forest,1,0.076483259348438,0,19,0.148359692123049,0.0298627485334597
2511,underwater,0.9834465,12227_tapir.jpg,clarifAI,0.190742737385974,,0.546625897118926,13,1.82390339271722,tapir,malayan tapir,Night,Entire,Forest,1,0.284156107477352,0,18,0.240187269444628,0.0378350222666306
2512,wildlife,0.9659704,12227_tapir.jpg,clarifAI,0.499809648512766,,0.577453955179498,264,1.86878956426691,tapir,malayan tapir,Night,Entire,Forest,1,0.61908192345243,0,17,0.182851772699869,0.0568251824691801
2513,nature,0.9636699,12227_tapir.jpg,clarifAI,0.354320287320382,,0.529978353060782,156,1.80708050605074,tapir,malayan tapir,Night,Entire,Forest,1,0.340053200144989,0,16,0.177875773158715,0.0459902462400604
2514,fish,0.9633018,12227_tapir.jpg,clarifAI,0.284966655760126,,0.530613322138174,15,1.80732091398383,tapir,malayan tapir,Night,Entire,Forest,1,0.29489161389706,0,15,0.312918016328224,0.0200055385864815
