MammalBland,Common Name,Order,Family,Species Name,Status,States
Squirrel,Abert's Squirrel,Rodentia,Sciuridae,Sciurus aberti,AZ S.a.kaibabensis USFS sensitive,"Arizona, Colorado, New Mexico, Utah, Wyoming"
Ass,African Wild Ass,Perissodactyla,Equidae,Equus asinus,,Hawaii
Rat,Agile Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys agilis,,California
Marmot,Alaska Marmot,Rodentia,Sciuridae,Marmota broweri,,Alaska
Shrew,Alaska Tiny Shrew,Soricomorpha,Soricidae,Sorex yukonicus,Least concern,Alaska
Hare,Alaskan Hare,Lagomorpha,Leporidae,Lepus othus,Lower risk,Alaska
Woodrat,Allegheny Woodrat,Rodentia,Cricetidae,Neotoma magister,Lower Risk,"Delaware, Indiana, Kentucky, Maryland, North Carolina, New Jersey, Ohio, Pennsylvania, Tennessee, Virginia, West Virginia"
Bat,Allen's Big-eared Bat,Chiroptera,Vespertilionidae,Idionycteris phyllotis,Lower Risk (lc),"Arizona, Colorado, New Mexico, Texas, Utah"
Chipmunk,Allen's Chipmunk,Rodentia,Sciuridae,Tamias senex,Lower Risk,"California, Nevada, Oregon"
Chipmunk,Alpine Chipmunk,Rodentia,Sciuridae,Tamias alpinus,,California
Badger,American Badger,Carnivora,Mustelidae,Taxidea taxus,Common within range,"Arkansas, Arizona, California, Colorado, Iowa, Idaho, Illinois, Indiana, Kansas, Maryland, Michigan, Minnesota, Missouri, Montana, North Dakota, Nebraska, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, South Dakota, Texas, Utah, Washington, Wisconsin, West Virginia, Wyoming"
Beaver,American Beaver,Rodentia,Castoridae,Castor canadensis,Data Deficient as C. c. phaeus (from Admiralty Island in Alaska&#039;s Alexander Archipelago); Not Evaluated as C. c. frondator and C. c. mexicanus; otherwise Lower Risk (lc).,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Bison,American Bison,Artiodactyla,Bovidae,Bison bison,,"Alaska, Arizona, Kansas, Montana, New Mexico, Utah, Wyoming"
Marten,American Marten,Carnivora,Mustelidae,Martes americana,Common within range,"Alaska, California, Colorado, Idaho, Maine, Michigan, Minnesota, Montana, New Mexico, Nevada, New York, Oregon, Utah, Washington, Wisconsin, Wyoming"
